epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2216,1.00147,4.42099,1.49123,0.55704,0.14468,0.13938,0.09097,1.39212,3.5704,1.9342,0.00033114,0.00033114,0.00033114
2,80.2103,1.12807,3.47981,1.54338,0.5883,0.15768,0.14374,0.09337,1.39025,2.91467,1.93043,0.000651317,0.000651317,0.000651317
3,118.734,1.16296,2.81773,1.56749,0.59451,0.20175,0.15446,0.1041,1.42466,2.66879,1.99344,0.000958294,0.000958294,0.000958294
4,157.235,1.16182,2.42387,1.56579,0.33447,0.18333,0.15288,0.10953,1.38623,2.66644,1.92515,0.0009406,0.0009406,0.0009406
5,196.013,1.16363,2.25532,1.54319,0.18396,0.21866,0.17938,0.12302,1.40248,2.48987,1.84254,0.0009208,0.0009208,0.0009208
6,234.105,1.12822,2.15502,1.52371,0.40072,0.23496,0.18963,0.13783,1.2754,2.31507,1.77057,0.000901,0.000901,0.000901
7,272.268,1.11866,2.05366,1.51805,0.41392,0.23294,0.19409,0.1475,1.25525,2.19656,1.73822,0.0008812,0.0008812,0.0008812
8,310.544,1.10028,1.97491,1.50205,0.41497,0.24659,0.2017,0.15399,1.22005,2.18041,1.71088,0.0008614,0.0008614,0.0008614
9,348.482,1.08028,1.9471,1.48686,0.24312,0.24666,0.21584,0.1616,1.23683,2.17159,1.71367,0.0008416,0.0008416,0.0008416
10,387.17,1.06761,1.9253,1.49404,0.418,0.23361,0.21018,0.16018,1.23585,2.17771,1.73679,0.0008218,0.0008218,0.0008218
11,425.147,1.04871,1.88083,1.47064,0.43857,0.27044,0.22229,0.16941,1.15542,2.04597,1.63057,0.000802,0.000802,0.000802
12,463.683,1.03423,1.83398,1.4629,0.42553,0.26332,0.2187,0.16808,1.24491,2.04622,1.70481,0.0007822,0.0007822,0.0007822
13,501.753,1.03569,1.8469,1.45178,0.42663,0.27518,0.23734,0.18291,1.16232,2.02966,1.64844,0.0007624,0.0007624,0.0007624
14,539.745,1.0152,1.79064,1.44588,0.44517,0.27346,0.23003,0.17239,1.14486,2.05638,1.59482,0.0007426,0.0007426,0.0007426
15,578.001,1.0142,1.78224,1.43905,0.44225,0.27862,0.2316,0.18342,1.12592,1.93755,1.59388,0.0007228,0.0007228,0.0007228
16,616.424,0.99309,1.74419,1.42645,0.42719,0.28394,0.2671,0.18584,1.14365,1.98837,1.60841,0.000703,0.000703,0.000703
17,654.76,0.99832,1.74174,1.42798,0.2304,0.27107,0.23005,0.18056,1.12719,1.93693,1.58323,0.0006832,0.0006832,0.0006832
18,692.783,0.98379,1.7298,1.41026,0.46475,0.28839,0.25144,0.19141,1.08152,1.90373,1.54565,0.0006634,0.0006634,0.0006634
19,730.895,0.98586,1.67903,1.41812,0.29767,0.33932,0.28342,0.21065,1.10341,1.85563,1.55789,0.0006436,0.0006436,0.0006436
20,768.724,0.97727,1.68825,1.40945,0.44614,0.30655,0.25228,0.1971,1.0719,1.89314,1.53122,0.0006238,0.0006238,0.0006238
21,806.983,0.97374,1.68182,1.40923,0.31488,0.35628,0.27986,0.20479,1.07804,1.88469,1.55668,0.000604,0.000604,0.000604
22,845.418,0.94971,1.63089,1.39888,0.44737,0.31154,0.28026,0.20958,1.0608,1.84357,1.55235,0.0005842,0.0005842,0.0005842
23,883.445,0.9522,1.63283,1.40035,0.44696,0.3074,0.31183,0.21434,1.10736,1.92162,1.55353,0.0005644,0.0005644,0.0005644
24,921.863,0.9393,1.61236,1.38876,0.44524,0.35156,0.30604,0.22164,1.06887,1.78973,1.51859,0.0005446,0.0005446,0.0005446
25,959.92,0.93037,1.61016,1.38137,0.45859,0.31392,0.27759,0.20982,1.06976,1.78585,1.52312,0.0005248,0.0005248,0.0005248
26,998.448,0.92678,1.58997,1.38558,0.46329,0.30156,0.27745,0.20823,1.0631,1.79113,1.52686,0.000505,0.000505,0.000505
27,1036.54,0.91182,1.56645,1.3746,0.25778,0.32529,0.27244,0.21269,1.05426,1.77197,1.51002,0.0004852,0.0004852,0.0004852
28,1075.12,0.93757,1.5936,1.37774,0.36073,0.33443,0.30388,0.22583,1.03703,1.75604,1.51878,0.0004654,0.0004654,0.0004654
29,1113.56,0.90765,1.52726,1.3688,0.43355,0.38668,0.32967,0.24602,1.04806,1.69254,1.4991,0.0004456,0.0004456,0.0004456
30,1152.1,0.90784,1.50601,1.36516,0.45337,0.33844,0.29985,0.22916,1.04597,1.70917,1.48688,0.0004258,0.0004258,0.0004258
31,1190.31,0.89332,1.50139,1.35763,0.33412,0.37307,0.30062,0.233,1.02298,1.67761,1.47998,0.000406,0.000406,0.000406
32,1228.29,0.89009,1.49469,1.35292,0.48446,0.31701,0.29951,0.23417,1.0267,1.67957,1.46219,0.0003862,0.0003862,0.0003862
33,1266.44,0.88012,1.47202,1.33908,0.28036,0.36619,0.29423,0.23035,1.03629,1.68437,1.48859,0.0003664,0.0003664,0.0003664
34,1304.33,0.87275,1.46007,1.34027,0.48121,0.32487,0.30459,0.2347,1.03121,1.67046,1.47902,0.0003466,0.0003466,0.0003466
35,1342.6,0.8784,1.47111,1.34129,0.28622,0.34018,0.30896,0.23669,1.00055,1.65201,1.45449,0.0003268,0.0003268,0.0003268
36,1380.98,0.87055,1.4399,1.34115,0.27844,0.3614,0.29618,0.22855,1.01968,1.65472,1.47471,0.000307,0.000307,0.000307
37,1423.13,0.85518,1.41549,1.33201,0.49931,0.33487,0.30953,0.23546,1.00797,1.60859,1.46313,0.0002872,0.0002872,0.0002872
38,1467.33,0.86202,1.41574,1.33286,0.35154,0.40016,0.30628,0.23823,0.99521,1.62665,1.46059,0.0002674,0.0002674,0.0002674
39,1506.2,0.85163,1.40492,1.32409,0.35873,0.38326,0.31078,0.24082,0.98945,1.64639,1.43885,0.0002476,0.0002476,0.0002476
